"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id"
"191",0.304,0.234,3,-10.728,1,0.0286,0.724,9.23e-05,0.929,0.0725,77.121,"3TQs5AmPNEnnTNSXzCQV7G"
"192",0.262,0.482,5,-7.75,0,0.0294,0.0364,0.000189,0.11,0.063,170.968,"0u35Dpz37TY2M2j20RUdMf"
"193",0.424,0.588,9,-5.455,1,0.0278,0.0553,4.95e-06,0.298,0.193,144.636,"2nvC4i2aMo4CzRjRflysah"
"194",0.611,0.556,9,-5.761,1,0.0288,0.175,7.14e-05,0.0359,0.252,126.532,"4hf0hL4kWyjWztZzVsM39V"
"195",0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,"75JFxkI2RXiU7L9VXzMkle"
"196",0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,"0BCPKOYdS2jbQ8iyB56Zns"
"197",0.453,0.571,11,-6.117,1,0.0314,0.00976,0.518,0.0846,0.189,132.787,"4fP4xTSBli3tKck172LEZ4"
"198",0.607,0.405,9,-8.607,1,0.0265,0.539,6.7e-06,0.231,0.233,129.543,"3ou9rSNUQnE7XYmJkUUIOc"
"199",0.532,0.433,3,-9.423,1,0.0278,0.0942,0.0121,0.142,0.0395,140.666,"4bPkBHKLKd9WHizsvM2zV3"
"200",0.277,0.797,0,-5.66,1,0.0385,0.586,0.341,0.221,0.26,177.004,"7KolrFGhfDi1JTSgQBT5sI"
"201",0.525,0.472,5,-8.018,1,0.0255,0.156,4.39e-06,0.29,0.116,138.39,"4JJ5zGKnb1IpERyBrfmb1y"
"202",0.269,0.176,3,-10.463,1,0.0296,0.836,0.0343,0.122,0.105,78.861,"2uQ4px5SPONsgcUpulywIQ"
"203",0.602,0.612,0,-8.409,1,0.0335,0.206,0.00607,0.107,0.453,122.062,"2QhURnm7mQDxBb5jWkbDug"
"204",0.396,0.803,4,-6.186,1,0.0487,0.0334,0,0.0688,0.286,116.705,"0qksx8mV28lztYIZ1om8ml"
"205",0.309,0.673,1,-5.524,0,0.0319,0.0236,0.000144,0.0635,0.0732,147.599,"2mLgOcRkEgq89j8WstUpui"
"206",0.371,0.268,1,-10.506,1,0.0281,0.748,0.0517,0.104,0.165,102.617,"7D0RhFcb3CrfPuTJ0obrod"
"207",0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,"3AJwUDP919kvQ9QcozQPxg"
"208",0.565,0.546,11,-7.496,0,0.0314,0.189,0.0015,0.17,0.195,139.757,"0R8P9KfGJCDULmlEoBagcO"
"209",0.555,0.0845,4,-18.348,1,0.0518,0.871,2.27e-06,0.138,0.375,137.001,"4qzoHxgp42ylb18ga1SWTL"
"210",0.495,0.525,7,-9.342,0,0.0301,0.396,0.00736,0.0961,0.249,154.466,"2DHgvPQD1jApRnT1DBZdrS"
"211",0.433,0.288,6,-10.801,0,0.0296,0.535,0.000169,0.105,0.131,136.939,"5TB6QgrF0RPIxSCGfRDLoe"
"212",0.374,0.456,6,-7.35,0,0.0368,0.104,0.000176,0.197,0.0763,135.643,"1RNtm45kw0hPMBz7gKiIYu"
