"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id"
"46",0.253,0.454,4,-11.742,1,0.0362,0.763,0.892,0.378,0.133,85.508,"5MVyXzR1HARqSkQjhPrNBO"
"47",0.121,0.699,9,-6.956,1,0.043,0.171,0.00104,0.965,0.326,78.393,"0o7htzPrB8bP0jnyjiqUdj"
"48",0.233,0.675,3,-8.374,1,0.0501,0.252,0.0181,0.854,0.317,134.173,"1rAZrYT0Ad4F1RiDaxYknE"
"49",0.426,0.859,11,-5.866,0,0.0448,0.00072,0.000775,0.456,0.17,102.913,"0hreO9tj5yiYftUuVThaea"
"50",0.415,0.808,6,-6.596,1,0.0367,0.00255,0.000606,0.982,0.2,124.893,"1EMFnyhETKfI52uhI4baGY"
"51",0.108,0.82,7,-5.61,1,0.075,0.0115,2.41e-05,0.659,0.15,67.092,"3glegOEXSkk8HanJe7ZB08"
"52",0.156,0.217,4,-18.429,1,0.0451,0.000119,0.929,0.102,0.0936,74.901,"6c64ANGY0NfO2YMpbcJUOR"
"53",0.449,0.92,11,-4.982,1,0.0737,0.0021,0.0167,0.334,0.0772,122.984,"32kkgDF3INcwS6qs6ILplZ"
"54",0.559,0.841,0,-5.584,1,0.0332,0.000315,0.437,0.0816,0.147,105.009,"3R34ORJaGjmAcQK5sfgmQ0"
"55",0.491,0.693,0,-6.487,0,0.0377,0.211,6.92e-06,0.325,0.412,90.027,"3Jqgu4nVb0oQTGmObR097r"
"56",0.534,0.445,4,-9.155,1,0.0292,0.456,0.0684,0.112,0.136,146.107,"2eUDgLm67Itf6vEYK1L9wf"
"57",0.638,0.924,7,-3.887,1,0.036,0.00205,0.000175,0.149,0.53,111.995,"17ZmrriLHd1RnaFBp6c7UI"
"58",0.485,0.735,0,-5.125,1,0.0354,0.271,7.49e-06,0.0853,0.216,134.021,"0SREKu7J3D8Uw7qyl2OCMb"
"59",0.288,0.285,7,-18.193,0,0.0355,0.964,0.897,0.406,0.148,127.122,"0KxEJcGUaW7b6GpPNPL7gH"
"60",0.387,0.659,3,-6.492,1,0.0434,0.275,6.44e-05,0.0861,0.287,146.048,"5oVHiXIQxwahhbFOzD5ZUF"
"61",0.451,0.636,5,-5.796,1,0.0274,0.017,0.435,0.141,0.289,97.041,"6w3eoWrKcR4x41uG3cwGNF"
"62",0.348,0.166,11,-20.349,1,0.0376,0.852,0.915,0.137,0.0337,123.58,"2vlTT7d7yovhBMgcsUrONg"
"63",0.479,0.717,7,-5.459,1,0.0605,0.0488,0.000333,0.102,0.253,163.989,"2qQG5RmzKvQz8l3JTxSv47"
"64",0.651,0.771,9,-6.541,0,0.0313,0.00381,1.71e-05,0.238,0.456,112.015,"3RateSD2PJ9fGZzHnRmIAT"
"65",0.564,0.849,0,-3.516,0,0.0517,0.00868,4.68e-06,0.12,0.427,102.028,"1OAiWI2oPmglaOiv9fdioU"
"66",0.806,0.657,7,-5.947,1,0.0688,0.103,0.00283,0.126,0.289,97.986,"5QOpPsNwbi3IfUH0TffBpn"
"67",0.557,0.542,9,-8.945,1,0.0439,0.235,0.141,0.715,0.301,93.312,"28EbC4MoqVr1LsIGDAaIjO"
"68",0.493,0.864,5,-4.613,0,0.0399,0.0539,0.19,0.668,0.231,130.983,"1eGZMzDf7gSOSvFkprCYFa"
"69",0.443,0.942,5,-4.136,0,0.11,0.0139,3.58e-06,0.886,0.309,137.986,"28u0nvCV0qA8VlGA8C4ZAi"
"70",0.384,0.414,11,-9.223,1,0.0293,0.837,0.0209,0.147,0.177,74.978,"1fRJH6eT6ZsYCCc74YenIv"
"71",0.236,0.825,6,-5.273,1,0.0578,0.0603,0.000713,0.41,0.189,124.938,"0mIkdGHjYDvwlWS9BIhhs2"
"72",0.449,0.92,11,-4.982,1,0.0737,0.0021,0.0167,0.334,0.0772,122.984,"6f49kbOuQSOsStBpyGvQfA"
"73",0.559,0.841,0,-5.584,1,0.0332,0.000315,0.437,0.0816,0.147,105.009,"3HWDWyIqWuLsTHECx9DvXF"
"74",0.491,0.693,0,-6.487,0,0.0377,0.211,6.92e-06,0.325,0.412,90.027,"3RiPr603aXAoi4GHyXx0uy"
"75",0.534,0.445,4,-9.155,1,0.0292,0.456,0.0684,0.112,0.136,146.107,"5qfZRNjt2TkHEL12r3sDEU"
"76",0.638,0.924,7,-3.887,1,0.036,0.00205,0.000175,0.149,0.53,111.995,"69uxyAqqPIsUyTO8txoP2M"
"77",0.485,0.735,0,-5.125,1,0.0354,0.271,7.49e-06,0.0853,0.216,134.021,"7fJFDK6XjYsXcMKNHESbot"
"78",0.288,0.285,7,-18.193,0,0.0355,0.964,0.897,0.406,0.148,127.122,"7IX7VAXujvcZ3e1PG7sGP7"
"79",0.387,0.659,3,-6.492,1,0.0434,0.275,6.44e-05,0.0861,0.287,146.048,"4giCxIFPZNQIP4bIZM4sqH"
"80",0.451,0.636,5,-5.796,1,0.0274,0.017,0.435,0.141,0.289,97.041,"3wtV2ifnHzirkAElgTGh63"
"81",0.348,0.166,11,-20.349,1,0.0376,0.852,0.915,0.137,0.0337,123.58,"3VqiD8Yvk6bKwqS1e64PHB"
"82",0.479,0.717,7,-5.459,1,0.0605,0.0488,0.000333,0.102,0.253,163.989,"31L9yLXSj6LpCFupyMV6CR"
"83",0.476,0.698,2,-8.451,0,0.0332,0.0159,0.569,0.994,0.157,97.497,"0zM6Zj4Iao1tJFHWc2PsrL"
"84",0.5,0.502,6,-11.775,0,0.0424,0.18,0.0887,0.729,0.362,93.361,"3bVwuZb0nYvAMn3roElQnY"
"85",0.584,0.735,6,-7.147,1,0.0395,0.00645,0.433,0.958,0.345,112.025,"29G1awyCr8RHz9EsTwqC6P"
"86",0.463,0.758,11,-7.939,1,0.0369,0.00195,0.0332,0.921,0.184,120.03,"4KmOOVu1sdBLKJbfEm4p1X"
"87",0.459,0.574,1,-10.416,1,0.0334,0.188,0.705,0.958,0.0874,126.987,"5lsz74yVLAvt3anpHZHCTS"
"88",0.509,0.722,8,-8.088,1,0.0306,0.00231,0.0469,0.981,0.497,80.008,"79fUOcp3p5YCkBD6ILl6Tz"
"89",0.363,0.426,11,-11.428,1,0.0312,0.875,0.177,0.15,0.126,75.201,"2OKnY0cqro0qsOijOondrr"
"90",0.467,0.765,6,-7.846,1,0.0311,0.00416,5.93e-05,0.708,0.186,125.013,"2WXTF0qgKbczC2O8VymeLO"
"91",0.308,0.364,7,-12.183,0,0.0306,0.378,0.946,0.932,0.0688,135.975,"1ZAcQoFIdhYdKx8FaR4c3t"
"92",0.495,0.502,5,-9.307,1,0.0259,0.0127,0.689,0.068,0.0394,97.546,"0FMjqbY3aWo1QDbo3GwXib"
"93",0.738,0.482,6,-8.917,0,0.0402,0.0266,0.621,0.106,0.352,93.457,"23khhseCLQqVMCIT1WMAns"
"94",0.688,0.705,6,-7.311,1,0.0323,0.0647,0.124,0.118,0.696,112.019,"6c6W25YoDGjTq3qSPOga5t"
"95",0.482,0.573,11,-7.966,1,0.028,0.00376,0.077,0.123,0.184,119.991,"0fQuzbQNLcD1ofo7B2NcFI"
"96",0.548,0.475,1,-12.42,1,0.0355,0.615,0.808,0.0944,0.0349,126.974,"4GKk1uNzpxIptBuaY97Dkj"
"97",0.516,0.572,8,-9.037,1,0.0291,0.00715,0.254,0.139,0.351,160.023,"22uzF19LxQW87kOVkR79Fq"
"98",0.194,0.132,11,-15.783,1,0.0349,0.919,0.181,0.159,0.04,74.845,"2u4uhtETtcULnkBfFHSnDX"
"99",0.545,0.675,6,-6.474,1,0.0279,0.00617,0.00197,0.209,0.162,124.97,"0FDzzruyVECATHXKHFs9eJ"
"100",0.371,0.216,10,-14.727,1,0.0358,0.911,0.826,0.0934,0.0645,136.998,"77yuzxCS3csrgTPSW0pvyk"
"101",0.0714,0.881,3,-7.189,1,0.182,0.328,0.993,0.583,0.0399,177.309,"0ejLFn10FIMPNSwCmIviyR"
"102",0.398,0.918,10,-6.944,1,0.0531,0.000429,0.0386,0.944,0.103,89.992,"1mw50a4DGRhkdMX7nOoLE4"
"103",0.349,0.729,9,-7.059,1,0.0372,0.00033,0.022,0.981,0.233,144.785,"5OOloRWmvXZG3aQaeWjDNN"
"104",0.226,0.869,4,-7.091,0,0.0579,0.00159,0.106,0.994,0.358,113.717,"4WyX6hwqB1forx046ilrg2"
"105",0.253,0.689,11,-7.82,1,0.0447,0.0643,0.00933,0.92,0.0848,93.919,"58MrV6J9oS46ViY1N6gTJX"
"106",0.156,0.751,8,-6.848,0,0.0578,0.00979,0.053,0.987,0.0616,138.071,"7nyK4SxiizwxDRr4V2JJaF"
"107",0.391,0.904,9,-5.786,0,0.0889,0.00883,0.11,0.985,0.43,85.027,"0t1nm5TmszvLLVAOLiOrH8"
"108",0.546,0.53,0,-8.064,0,0.0435,0.201,0.128,0.767,0.479,76.023,"7cmWfBUtzV8DQTw47nA5OD"
"109",0.452,0.821,5,-6.828,0,0.0397,0.0123,0.09,0.874,0.338,137.965,"5ZV67iTfNpW3ueMCELLiSX"
"110",0.35,0.863,10,-6.628,1,0.0623,0.0102,0.0201,0.445,0.138,137.92,"1u0LrLPnIfVeHOzFfye3Lf"
"111",0.332,0.801,5,-7.622,1,0.0522,0.0255,0.082,0.753,0.372,139.791,"1lWLwMV3peo5fJp5hHRCHS"
"112",0.154,0.623,0,-8.428,1,0.0551,0.571,4.12e-05,0.986,0.393,76.873,"6i8gAfT84lsvS8R7ggDZKe"
"113",0.451,0.908,5,-6.386,0,0.0625,0.0572,0.418,0.381,0.29,131.011,"7LIQNY8P7ZGxilKVX88MF1"
"114",0.165,0.551,3,-7.62,1,0.0346,0.00264,0.242,0.477,0.181,140.52,"6L0uCWhXyBNncoDgfEvK1R"
"115",0.25,0.971,2,-7.516,1,0.154,0.0124,0.000145,0.985,0.264,118.206,"3nbAuEdSqBVF5m2QwVYlzR"
"116",0.151,0.389,3,-12.798,1,0.038,0.437,0.961,0.228,0.223,100.707,"3vCzHYgSjMuGjFMfJSCx4c"
"117",0.418,0.773,10,-6.187,1,0.0305,0.01,0.00418,0.269,0.273,89.961,"6WF4hzdGXvXd1joERSXJjm"
"118",0.449,0.585,5,-6.761,1,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,"6nek1Nin9q48AVZcWs9e9D"
"119",0.43,0.74,10,-7.072,1,0.0375,0.0212,0.00165,0.33,0.0948,137.978,"1yqMgZNrevsWMLWfO2PRp5"
"120",0.507,0.304,0,-11.096,1,0.0278,0.845,1.03e-05,0.0741,0.195,112.371,"5zyfzNnBzN7f7PVkJFnW2g"
"121",0.174,0.0613,2,-29.286,1,0.0538,0.939,0.867,0.095,0.154,126.857,"5Y7ztPw93VbAle55brM0jo"
"122",0.425,0.732,9,-6.883,1,0.0396,0.00194,0.0103,0.171,0.333,117.98,"2U8g9wVcUu9wsg6i7sFSv8"
"123",0.445,0.669,4,-5.232,0,0.0325,0.000236,0.796,0.606,0.398,115.416,"6maXBs9zUY48m1UNHgTeRC"
"124",0.216,0.395,7,-11.791,1,0.0361,0.731,0.0167,0.338,0.206,83.697,"6BbIybrP84Tp99DLJg1cq3"
"125",0.42,0.69,9,-6.221,0,0.0347,0.00385,0.015,0.287,0.237,85.014,"4HXOBjwv2RnLpGG4xWOO6N"
"126",0.641,0.244,10,-11.051,1,0.0301,0.235,0.0337,0.104,0.337,76.006,"06t6JWrU05BxaKPtct2P2n"
"127",0.441,0.26,11,-20.424,1,0.0352,0.103,0.878,0.816,0.574,116.949,"6n1x3DYFDpRau83XsI32NU"
"128",0.41,0.751,8,-7.903,0,0.0465,0.000561,0.0571,0.169,0.151,140.047,"69ho6gqRw1Rjy56tXlvnqk"
"129",0.365,0.483,2,-7.876,1,0.035,0.714,0.00463,0.363,0.107,120.039,"5lIFsEWj9IjNEALbHnPosE"
"130",0.151,0.713,2,-7.686,1,0.0354,0.0799,0.0256,0.968,0.128,155.21,"6MR1HlTg8ARX1MqntlbDpr"
"131",0.26,0.722,1,-7.881,1,0.0378,0.0256,0.000345,0.977,0.107,141.594,"49UkdEi78uZGqQz4rWpkim"
"132",0.471,0.867,5,-6.832,0,0.0409,0.285,0.616,0.943,0.4,130.981,"2jo5mWVDLwBES6O7Xz58PD"
"133",0.207,0.78,8,-7.115,1,0.0492,0.00844,0.134,0.985,0.231,85.136,"7jcMXBdTIXP1tf9cNXA4Mt"
"134",0.246,0.358,10,-8.794,1,0.0311,0.874,7.9e-05,0.602,0.157,89.737,"3Pgiemb2bwxrVBYoUIhtsw"
"135",0.174,0.942,5,-5.978,0,0.14,0.0349,0.0395,0.794,0.186,138.005,"03fyMJOv5psp93rUj07g3S"
"136",0.309,0.926,2,-7.596,1,0.168,0.639,0.133,0.966,0.559,140.527,"34jtZbCoyKjyuG1MmfgXzX"
"137",0.157,0.563,3,-8.815,1,0.0402,0.0153,0.192,0.98,0.185,137.847,"0Ir2uqonLKO7JZwZM45558"
"138",0.235,0.672,3,-8.321,1,0.0628,0.163,0.168,0.901,0.261,128.673,"23l7E14oZQJ9tkIy5tdeRi"
"139",0.288,0.662,9,-10.482,1,0.0347,0.0102,0.944,0.498,0.254,131.056,"0krrSlZaRpX7fuTysHRaCw"
"140",0.437,0.806,10,-7.693,0,0.0353,0.0054,0.00822,0.1,0.271,109.109,"21Wwu23O9xSBWWRjLRiDj4"
"141",0.359,0.779,7,-7.52,1,0.0412,0.0057,0.837,0.379,0.582,86.951,"1M9PeoMopTn0ZFJrsHRx42"
"142",0.309,0.636,5,-7.202,0,0.0344,0.221,0.00281,0.102,0.177,141.382,"2LZRtmvBhHo3JKRIc6Pixa"
"143",0.202,0.733,7,-7.599,1,0.0446,0.0427,0.696,0.243,0.0728,118.217,"6wqGAJqHiWW6FeJclvCRVL"
"144",0.162,0.807,6,-6.277,1,0.0538,0.00884,0.358,0.187,0.227,161.577,"3sgIvnmQmenB23UR17ztfY"
"145",0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,"4ixsIFLZVeMQUoDjZCr7ar"
"146",0.33,0.58,1,-7.875,0,0.0374,0.0614,0.00129,0.115,0.11,76.093,"4LsCRDOGrb2HzXJyo0gZqW"
"147",0.378,0.663,1,-10.476,1,0.0458,0.00722,0.797,0.191,0.428,173.136,"0TqBUdJrB3v4CdNkVX1HQs"
"148",0.218,0.296,8,-10.61,1,0.0312,0.695,0.727,0.164,0.0792,129.93,"07Mutbg6JAknCEgNjiAhu2"
"149",0.472,0.909,9,-7.073,1,0.0391,0.00158,5.16e-05,0.248,0.278,131.051,"0ki20YfuY8tRxi4LIR69IO"
"150",0.46,0.164,10,-19.387,1,0.048,0.99,0.953,0.146,0.189,126.704,"6JRMznXYvNp6JPL5fiRSiP"
"151",0.152,0.695,2,-8.299,1,0.0318,0.000433,0.0618,0.334,0.237,157.167,"7N2oP2Zhfan1VDmnfLb4XN"
"152",0.375,0.677,8,-6.964,1,0.0292,0.0765,0.00271,0.126,0.652,137.994,"3m4fXicsGgwCBVKmUPaTUZ"
"153",0.285,0.279,2,-11.992,1,0.0292,0.401,0.00428,0.193,0.0942,146.4,"0UiWwDcBQ7Tw7q9qc1Da5S"
"154",0.257,0.805,7,-7.025,1,0.0559,0.0081,0.494,0.357,0.39,175.251,"2BbKMU9liK8sFKIdWK9w1z"
"155",0.402,0.941,7,-6.035,1,0.075,0.00263,0.394,0.298,0.319,111.982,"1BPAIfNrEHg6SM4A8wlL83"
"156",0.494,0.255,0,-13.797,1,0.0305,0.817,0.853,0.0819,0.13,123.502,"6jUqMs7jDzdv7i9sGXEKap"
"157",0.288,0.662,9,-10.482,1,0.0347,0.0102,0.944,0.498,0.254,131.056,"5thS1ADBNUQxFQSsY06pj5"
"158",0.437,0.806,10,-7.693,0,0.0353,0.0054,0.00822,0.1,0.271,109.109,"1PCcIJm8I4agHiG84aWaWK"
"159",0.359,0.779,7,-7.52,1,0.0412,0.0057,0.837,0.379,0.582,86.951,"4Ff4tlRfY51a7OoDBmEQ73"
"160",0.309,0.636,5,-7.202,0,0.0344,0.221,0.00281,0.102,0.177,141.382,"5n7x2e25v13KyyRd3iyekR"
"161",0.202,0.733,7,-7.599,1,0.0446,0.0427,0.696,0.243,0.0728,118.217,"4cbiW4xxaXCT3OQNQYhGSV"
"162",0.162,0.807,6,-6.277,1,0.0538,0.00884,0.358,0.187,0.227,161.577,"4iZpKEjoF6VlXJEEssAZx5"
"163",0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,"1SLxVWqXo9zNrrDKRa3m1G"
"164",0.33,0.58,1,-7.875,0,0.0374,0.0614,0.00129,0.115,0.11,76.093,"6VEcyQiE2bXGaduwVINWHE"
"165",0.378,0.663,1,-10.476,1,0.0458,0.00722,0.797,0.191,0.428,173.136,"6DTcCx2sZlx5FbPHDl4kWU"
"166",0.218,0.296,8,-10.61,1,0.0312,0.695,0.727,0.164,0.0792,129.93,"4Wi4chYe7kJ47SmFI3IKBF"
"167",0.451,0.679,0,-6.884,0,0.0319,0.00674,0.00136,0.164,0.0602,124.169,"2zQIITgo6sc5ppOfPcH205"
"168",0.304,0.502,6,-6.707,0,0.035,0.313,0.0011,0.138,0.204,136.779,"39qRdHcl2tizWbzlM9kUlN"
"169",0.491,0.783,8,-8.997,0,0.0484,0.00521,0.0361,0.0951,0.26,127.437,"0WWz2AaqxLoO0fa9ou6Fqc"
"170",0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,"7LVHVU3tWfcxj5aiPFEW4Q"
"171",0.415,0.554,7,-10.839,0,0.0334,0.00541,0.00202,0.155,0.163,120.318,"4wzt5Rrk3W98pHXAqutuJw"
"172",0.225,0.561,6,-6.813,0,0.0352,0.563,0.00987,0.366,0.0818,153.24,"2rxp56vVQp1zzumJ0eHLmw"
"173",0.514,0.898,11,-6.765,0,0.0577,0.00488,0.0345,0.0746,0.353,123.067,"7clUVcSOtkNWa58Gw5RfD4"
