"x"
"Me"
""
"Me"
"Yes me"
"Yes me"
"Time travellers"
"me"
"me"
" You did not see i suppose"
"Cari juga toh"
"Me"
"Me"
""
"whatever you say habibi"
"me"
"What day is it"
"Me"
"Bro me too"
"ME"
"Thanks for like"
"Me too"
"Me"
"Me too"
"Me"
"me"
"today "
"Rip"
"Me"
"me"
" mu mu"
"Slowly slowly India is also becoming like other countries"
"One day"
"Yeah"
"Bro is a time traveler"
"I will expect a reply then"
"djfluffy mins ago"
"Yes I am from Japan Japan is lives in "
"I will be back"
"Me"
"it is "
"I am at Bahrain here "
""
"Me"
"No it is bro"
"No it "
"it is "
"Me on "
"cent cent"
"I am from India registered trademark India is going to become the most powerful country in the world by Jai shree Ram"
"sanatanixyz mu cent cent"
""
"Ben"
"I am in oh my god laughing out loud"
"I"
" mu mu "
"We have no timemechine"
"bro xD"
"Aaja bhai idhar bhi paisa mil jayega"
"Exactly what I went though until when I moved back to Mumbai"
"Aqui"
"Here"
""
"rebeccalaytonLove from India"
"And it is still beautiful"
"there is no traditional clothes in muzlims it is only Black tent and slavery funny how western women are so delusional"
"Here baby"
"Me"
"I love u coldplay"
"Listen to this incredible song once a week Great way to start off the Memorial Day weekend"
"Very nice culture"
"I also miss my India as I am currently living in Israel and I miss the food and culture that we have"
"do not offend whole India is your"
"ashutoshsingh thats what India is big country Its not only about North part"
"MalathiPknqo I know that is the main problem of u South India that even your literacy is great but behave like an idiot India is a big country and he not shows northeast Punjab kashmir and West Bengal and North India laughing out loud bc this was shooted in Mumbai Maharashtra as this is film City of India so do not cry like a kid in comments about North India or South India instead be happy that he represented India and if we say such things like u then u call us racist and other nonsense things I am proud even I am living in Delhi that Mumbai was showed and it is temples and beauty"
"Me"
""
"Fr especially west media"
"Oh that is so cute Love from India"
"Are u from Ohio "
"bombasticzoqz yes"
"bombasticzoqz and you "
"No bro"
"Onesideloveshayri which place "
"IMRANKHANcyezit is Varanasi where people from foreign used to come practice Hinduism and for peace"
"Me cent"
"Yeah still listening from india"
"Everyone one is from india"
"I got"
"Bruh minute ago"
"Wow I am amazed ure either muslims or hater of India"
"Come back I have liked your video and listened this peaceful song again"
"AshutoshINDIA and im here and listening"
"His this song on India made his career very well"
"Hahaha me too and I have listened this song back in years feeling nostalgia"
"I am still in m"
"Love from India"
"This song is based on Hindustan not India so do not put urself with this song"
"No one is here turkey or Pakistan beggars here"
"laughing out loud this song is based on Indian culture not of FIFA laughing out loud"
"Fr"
"Me"
"Tambem mano cent"
"Yep"
"No this is "
"KimMeghnano it is not it is "
"AceTheERZAR No it is not it is "
"KimMeghna u must not be fun talking to laughing out loud U do not even get jokes"
"Ok"
"Fr"
"I like"
"do not put us Christains with muslims"
"Azokyjufsame here to not put Hindus with Muslims"
"Because of you are addicted to alcohol"
"Nope"
"Sup"
"Nope"
"Mumbai"
"theiigotriangularroundI thought it is from Varanasi as Hindu culture depicted here"
"AshutoshINDIA Hinduism is quite prevalent in Mumbai too also these type of taxis are only seen in Mumbai And he walking in the slums of dhravai tht is in Mumbai too"
"I am from "
"Antigas tem vibes inesqueciveis"
"True"
"HOW DID YOU KNOOW"
"Yes true"
"i am a time Traveler laughing out loud"
"Stop drinking alcohol"
"Brasil"
"Not even a single one"
NA
"Fr I also come back to listened this song as I am living in Germany but I missed my pure culture and food"
"Yeah"
"Love from India"
"Yoo"
"This my channel"
""
""
""
""
""
"your India son so do not worry"
"I am here From Turkiye"
"Love from India"
"bb"
"Obviusly"
"mu registered trademark mu mu mu"
"Aur kya India ka hokar yeh puch Raha hai Varanasi side ka area hai shayad"
