"topic","term","beta"
3,"algeria",2.02223214484025e-162
4,"algeria",2.6064918697617e-159
5,"algeria",6.77277434093404e-159
6,"algeria",3.3785903658306e-155
1,"algo",1.27642831020905e-199
2,"algo",2.41039808598939e-200
3,"algo",0.000887327989521247
4,"algo",1.0963135912879e-198
5,"algo",1.60107483355903e-199
6,"algo",1.23536215304883e-196
1,"alguem",2.23016326897904e-173
2,"alguem",3.04711682057191e-162
3,"alguem",0.00532396793712748
4,"alguem",4.71987999060683e-172
5,"alguem",2.71534398256728e-172
6,"alguem",1.81719831540419e-169
1,"alguien",0.0034309043255361
2,"alguien",3.86126560678612e-158
3,"alguien",3.20034186518845e-160
4,"alguien",3.5168309065025e-155
5,"alguien",8.19950955727993e-156
6,"alguien",2.41886681017605e-153
1,"algum",6.10784232613731e-150
2,"algum",2.58440369621868e-152
3,"algum",0.00266198396856374
4,"algum",1.27291214196083e-149
5,"algum",6.26821009801234e-38
6,"algum",6.35856686808117e-146
1,"algun",0.00114363561376717
2,"algun",2.14730657586309e-170
3,"algun",0.000887327338873825
4,"algun",1.1761771232218e-165
5,"algun",9.95605357696373e-164
6,"algun",2.06532677908436e-164
1,"alguna",0.0011436347751787
2,"alguna",2.36784562286058e-204
3,"alguna",1.61720228970309e-194
4,"alguna",6.68180206419349e-201
5,"alguna",1.51609713108263e-202
6,"alguna",9.0538586362727e-199
1,"ali",2.33448377797959e-221
2,"ali",1.64216113772755e-223
3,"ali",2.69805502739707e-225
4,"ali",0.00119020179423761
5,"ali",1.99422369187716e-222
6,"ali",1.10619976031314e-218
1,"alisson",0.0011436347751787
2,"alisson",8.46807908521957e-206
3,"alisson",4.39506866158709e-207
4,"alisson",4.92553278402613e-202
5,"alisson",5.84396051855513e-194
6,"alisson",4.5586107052337e-201
1,"alive",5.71792237452664e-265
2,"alive",1.96106613279232e-267
3,"alive",8.61347235242699e-268
4,"alive",7.61491865404203e-266
5,"alive",8.31810743114446e-266
6,"alive",0.0172427472789244
1,"alivio",4.22395569652486e-202
2,"alivio",1.04598200035727e-205
3,"alivio",9.03807779735134e-207
4,"alivio",1.01063206620656e-199
5,"alivio",0.00110071387508795
6,"alivio",2.10057164654263e-199
1,"allways",0.0011436347751787
2,"allways",4.9393622283565e-144
3,"allways",2.74993281221384e-146
4,"allways",5.840867207142e-142
5,"allways",1.43268339644943e-142
6,"allways",2.7670923878849e-138
1,"alma",7.84203597212407e-64
2,"alma",7.06599027684895e-140
3,"alma",1.15695623153037e-207
4,"alma",2.0910621002841e-201
5,"alma",0.00220142775017591
6,"alma",2.76080046885549e-76
1,"altavoces",1.3759048798803e-185
2,"altavoces",1.42223153830156e-188
3,"altavoces",0.000887327989521247
4,"altavoces",3.02898336411848e-186
5,"altavoces",7.0756632394426e-187
6,"altavoces",4.63506263054778e-184
1,"alternative",0.0011436347751787
2,"alternative",1.37289075869822e-209
3,"alternative",3.69263490336972e-208
4,"alternative",5.14032036220473e-66
5,"alternative",1.50159549143437e-67
6,"alternative",9.23771874419504e-200
1,"alzarme",1.11671872363173e-259
2,"alzarme",7.1022654900066e-263
3,"alzarme",0.000887327989521247
4,"alzarme",1.94725162518461e-259
5,"alzarme",2.13869565366561e-260
6,"alzarme",2.69602194771981e-255
1,"aman",0.0011436347751787
2,"aman",1.20254769567604e-179
3,"aman",2.23776692042931e-42
4,"aman",1.42357632318219e-169
5,"aman",5.7789555867899e-177
6,"aman",7.54119015171175e-174
1,"amanha",7.16806008201704e-231
2,"amanha",7.3578603670514e-233
3,"amanha",0.000887327989521247
4,"amanha",2.55499476038582e-230
5,"amanha",3.87522826489093e-231
6,"amanha",3.19863692298803e-229
1,"amazed",4.76380681455774e-180
2,"amazed",0.00106272090598136
3,"amazed",2.50896540768754e-184
4,"amazed",2.41903537246263e-38
5,"amazed",3.28427954252983e-180
6,"amazed",4.07907247094933e-178
1,"amazing",2.00692737748406e-17
2,"amazing",0.00956448815383224
3,"amazing",3.75856522805399e-47
4,"amazing",8.50536351232567e-151
5,"amazing",7.23156311974545e-31
6,"amazing",2.3661366955496e-36
1,"ambivalent",5.02263884027488e-190
2,"ambivalent",2.31775529854761e-192
3,"ambivalent",1.91710370859219e-193
4,"ambivalent",3.11289284293137e-189
5,"ambivalent",0.00110071387508795
6,"ambivalent",9.14353668647688e-187
1,"amei",3.46690131922881e-143
2,"amei",3.79915061402596e-145
3,"amei",1.27413134602162e-145
4,"amei",1.20306420055077e-141
5,"amei",0.00110071387508795
6,"amei",4.6583510981865e-139
1,"america",9.201061986847e-18
2,"america",8.65635872703757e-179
3,"america",4.23381858519528e-184
4,"america",1.10184410174086e-177
5,"america",0.0022014277501759
6,"america",2.3481731599863e-176
1,"american",4.68926824679429e-125
2,"american",0.00106272090598136
3,"american",2.13896486746903e-153
4,"american",6.36401680208372e-150
5,"american",2.2422246671113e-151
6,"american",7.20573163519011e-147
1,"americans",7.51791003300627e-160
2,"americans",5.69373712077481e-162
3,"americans",2.3340638668482e-164
4,"americans",0.00119020179423761
5,"americans",6.29597234588908e-160
6,"americans",2.89183706442528e-156
1,"amesion",1.96688932503517e-141
2,"amesion",8.25691205286944e-145
3,"amesion",3.0358146148452e-143
4,"amesion",0.00119020179423761
5,"amesion",2.44969978051975e-142
6,"amesion",2.25432837567695e-138
1,"amezing",1.97834017440515e-163
2,"amezing",4.35961000425657e-164
3,"amezing",1.25099390000236e-167
4,"amezing",4.62100511963216e-162
5,"amezing",7.22348373102543e-163
6,"amezing",0.00132636517530188
1,"amo",0.00571817387258582
2,"amo",3.07365864819747e-12
3,"amo",3.41919971687405e-61
4,"amo",6.9648013455098e-158
5,"amo",1.15028781533043e-39
6,"amo",6.32132631971237e-161
1,"amor",0.00114363561416312
2,"amor",1.49045260892088e-169
3,"amor",0.000887327338566612
4,"amor",1.6609179094897e-166
5,"amor",8.60560627814357e-163
6,"amor",4.87240071021119e-166
1,"ancestors",5.63767341947164e-158
2,"ancestors",0.00106272090598136
3,"ancestors",5.57000988522598e-162
4,"ancestors",1.60015355217262e-156
5,"ancestors",2.07110425432513e-157
6,"ancestors",9.46403645324324e-154
1,"andrei",0.0011436347751787
2,"andrei",1.9573421350009e-161
3,"andrei",7.91314894891665e-162
4,"andrei",1.00502023998251e-157
5,"andrei",6.34148748161291e-159
6,"andrei",9.51033790886673e-156
1,"angel",0.0022872695503574
2,"angel",1.17569031418924e-197
3,"angel",1.07062304993377e-200
4,"angel",2.39174665358927e-184
5,"angel",1.55156632951469e-196
6,"angel",5.34308864096086e-194
1,"angelamaio",1.95087786447361e-161
2,"angelamaio",4.02803880286434e-163
3,"angelamaio",3.71547425260039e-164
4,"angelamaio",1.81877211284617e-160
5,"angelamaio",0.00110071387508795
6,"angelamaio",2.93157393525697e-156
1,"angeles",1.69316503106425e-48
2,"angeles",6.14018428266553e-194
3,"angeles",0.000887327989521247
4,"angeles",2.76955187232104e-191
5,"angeles",2.58677753603516e-55
6,"angeles",2.48321966216437e-189
1,"angle",5.71546858762906e-144
2,"angle",2.28707143562867e-145
3,"angle",1.88945557605801e-147
4,"angle",0.00119020179423761
5,"angle",4.95815063664254e-143
6,"angle",1.27722499053765e-138
1,"angra",3.19804211958137e-182
2,"angra",1.72540446575084e-185
3,"angra",1.06495757385187e-185
4,"angra",2.86657023674509e-183
5,"angra",0.00110071387508795
6,"angra",1.50745065657637e-180
1,"angriness",4.91128118909347e-187
2,"angriness",2.20676913710059e-187
3,"angriness",1.57826438108859e-192
4,"angriness",0.00119020179423761
5,"angriness",1.34654552085458e-187
6,"angriness",3.25884547837349e-185
1,"animais",3.40442856503885e-211
2,"animais",9.74751042818248e-215
3,"animais",1.5928430952731e-195
4,"animais",0.00119020179423761
5,"animais",3.93905149147649e-212
6,"animais",8.69613638831013e-208
1,"animals",5.74705071274184e-115
2,"animals",0.00212544227173754
3,"animals",0.000887327605628296
4,"animals",8.91195858335928e-41
5,"animals",3.79578049247784e-103
6,"animals",1.09398809333787e-147
1,"animation",3.39485533702301e-178
2,"animation",1.86983817710556e-178
3,"animation",1.24569672649308e-179
4,"animation",0.00119020179423761
5,"animation",7.11810027400384e-28
6,"animation",6.50850259633241e-173
1,"annees",8.51338313965045e-210
2,"annees",7.42966647256495e-213
3,"annees",6.50341981848537e-215
4,"annees",0.00119020179423761
5,"annees",5.53541268558446e-210
6,"annees",4.50352064201821e-207
1,"anos",8.39193098860664e-157
2,"anos",3.84024530411486e-159
3,"anos",0.00266198295783923
4,"anos",0.00119020314995517
5,"anos",7.47573058383031e-29
6,"anos",6.03526511057478e-155
1,"answer",2.36566572536538e-26
2,"answer",0.00106272090598136
3,"answer",1.46524041377279e-154
4,"answer",5.29108297215722e-151
5,"answer",1.52776732737426e-150
6,"answer",5.24800998069211e-147
1,"antes",6.40991329280141e-205
2,"antes",8.67054314873058e-207
3,"antes",0.00354931195808499
4,"antes",4.74106016270774e-203
5,"antes",1.03917732438157e-203
6,"antes",4.22653963325098e-200
1,"anthem",1.26639609196034e-149
2,"anthem",6.08373416269347e-28
3,"anthem",1.48909111556725e-152
4,"anthem",2.02087258236289e-26
5,"anthem",0.00330214162526386
6,"anthem",3.13288437964387e-146
1,"antichrist",3.71321162684193e-183
2,"antichrist",7.9559306483171e-188
3,"antichrist",7.3012457216279e-189
4,"antichrist",0.00119020207253151
5,"antichrist",0.00110071361771819
6,"antichrist",5.5398396743895e-181
1,"anymore",0.00135306019711371
2,"anymore",0.000868112645578014
3,"anymore",1.83370309953844e-170
4,"anymore",1.55449477972377e-166
5,"anymore",7.10349714027168e-168
6,"anymore",6.63561785000539e-164
1,"anyy",6.18837227834638e-140
2,"anyy",0.00106272090598136
3,"anyy",2.34032389575778e-142
4,"anyy",9.90543577365752e-139
5,"anyy",6.84592494050416e-139
6,"anyy",6.57178638329396e-136
1,"aos",2.19256671151081e-211
2,"aos",1.18717502868326e-213
3,"aos",1.45198755054465e-195
4,"aos",0.00119020179423761
5,"aos",1.16890870347883e-210
6,"aos",1.17131518831901e-207
1,"aparece",1.42853732565879e-32
2,"aparece",7.59559743255181e-191
3,"aparece",0.000887327989521247
4,"aparece",9.65238731568202e-189
5,"aparece",2.11991294711435e-187
6,"aparece",6.30442660787696e-186
1,"aparecio",0.00228727018938034
2,"aparecio",0.00106271933903631
3,"aparecio",8.12526573794623e-10
4,"aparecio",2.98709966865915e-166
5,"aparecio",8.3276043776617e-167
6,"aparecio",1.42210826221518e-164
1,"ape",3.2206596976726e-189
2,"ape",1.38825553784254e-193
3,"ape",1.2981867560913e-193
4,"ape",7.35703678046265e-190
5,"ape",0.00110071387508795
6,"ape",1.13661527249646e-187
1,"apenas",9.2206024956105e-231
2,"apenas",8.03521748245165e-233
3,"apenas",0.000887327989521247
4,"apenas",1.79596457579895e-230
5,"apenas",3.18951104387596e-231
6,"apenas",6.48200398814998e-228
1,"apes",5.76706880652477e-47
2,"apes",1.58387101566449e-41
3,"apes",2.89375834486215e-48
4,"apes",1.40432414777558e-160
5,"apes",0.0352228440028145
6,"apes",4.91057332067152e-81
1,"apestogether",5.95057473170147e-160
2,"apestogether",0.00106272090598136
3,"apestogether",2.58309140531285e-163
4,"apestogether",9.01910209705878e-159
5,"apestogether",4.88374346491636e-159
6,"apestogether",6.19893499386489e-157
1,"applicable",3.05439205221912e-183
2,"applicable",7.22524317028753e-185
3,"applicable",9.39055711064872e-24
4,"applicable",1.08599375904992e-163
5,"applicable",0.00110071387508795
6,"applicable",3.79386341261515e-141
1,"approve",4.98495276899974e-176
2,"approve",0.00106272090598136
3,"approve",2.51243394042403e-178
4,"approve",1.68274224478001e-175
5,"approve",1.07947003728069e-174
6,"approve",6.49996628740926e-172
1,"aprende",0.0011436347751787
2,"aprende",4.75331369459376e-186
3,"aprende",1.43601207022125e-186
4,"aprende",1.27724931464764e-182
5,"aprende",1.77817834478117e-183
6,"aprende",2.44478785864293e-180
1,"aprendi",3.91612955956508e-178
2,"aprendi",6.1808510006114e-192
3,"aprendi",3.58394006060091e-43
4,"aprendi",0.00119020179423761
5,"aprendi",6.80773903424219e-188
6,"aprendi",3.49560845629023e-185
1,"april",6.47210852906284e-141
2,"april",1.93891249080076e-143
3,"april",1.11414570288812e-144
4,"april",1.4953019367118e-140
5,"april",0.00550356937543977
6,"april",1.44721674067281e-137
1,"aqui",2.53667927633986e-11
2,"aqui",3.27676813182235e-160
3,"aqui",0.00709862389648829
4,"aqui",1.37454768078396e-154
5,"aqui",2.98514898569608e-157
6,"aqui",1.43432503084751e-155
1,"aquie",2.26369117352396e-170
2,"aquie",4.03243794284425e-174
3,"aquie",5.66779397819711e-176
4,"aquie",1.54622418913705e-171
5,"aquie",0.00110071387508795
6,"aquie",1.73383622080298e-167
1,"ardidisimo",1.09452923734142e-187
2,"ardidisimo",0.00106272090598136
3,"ardidisimo",6.97217693694987e-51
4,"ardidisimo",5.3142098817016e-189
5,"ardidisimo",6.4652598004811e-187
6,"ardidisimo",1.35659189140335e-186
1,"ardido",4.27016374509795e-168
2,"ardido",0.00106272090598136
3,"ardido",3.09930725610706e-172
4,"ardido",9.13184254596584e-168
5,"ardido",1.18856362839901e-167
6,"ardido",4.34787844008181e-165
1,"ardidos",5.38539312981284e-11
2,"ardidos",1.30459094651228e-162
3,"ardidos",5.11365208446143e-18
4,"ardidos",0.00119020173819083
5,"ardidos",9.56165060324358e-171
6,"ardidos",4.10245530278318e-169
1,"argenchango",2.34445909631962e-13
2,"argenchango",6.35221767796055e-151
3,"argenchango",0.00177465597886059
4,"argenchango",2.20413259526795e-146
5,"argenchango",4.91782781220722e-149
6,"argenchango",6.70138464982379e-145
1,"argenchangos",7.91653476421197e-163
2,"argenchangos",7.06092773300474e-154
3,"argenchangos",0.000887327989521247
4,"argenchangos",1.68496932865617e-162
5,"argenchangos",5.60174973229547e-164
6,"argenchangos",6.30463691866292e-161
1,"argentina",2.94952653272106e-29
2,"argentina",2.05476177429686e-167
3,"argentina",5.23098090409099e-168
4,"argentina",9.71694091366376e-163
5,"argentina",0.00330214162526386
6,"argentina",4.8945916575395e-161
1,"argentinos",4.61834557079762e-75
2,"argentinos",6.46896794549298e-145
3,"argentinos",0.0523523513817536
4,"argentinos",4.92329213040503e-53
5,"argentinos",9.28099339025073e-59
6,"argentinos",3.04533331986159e-145
1,"argenvilla",3.70027604885898e-196
2,"argenvilla",6.8931756625095e-198
3,"argenvilla",3.64448517000967e-197
4,"argenvilla",4.18913403096686e-194
5,"argenvilla",0.00220142775017591
6,"argenvilla",7.59292888135646e-191
1,"argetinos",0.0011436347751787
2,"argetinos",8.60361858363912e-179
3,"argetinos",1.12386567815049e-40
4,"argetinos",1.19622276181203e-185
5,"argetinos",3.83375532595653e-187
6,"argetinos",8.77587501155177e-187
1,"arriba",0.0011436347751787
2,"arriba",1.15182244671826e-163
3,"arriba",9.14124527335887e-165
4,"arriba",5.14081285402864e-160
5,"arriba",2.38236098753274e-161
6,"arriba",1.06981319510925e-158
1,"arrive",3.04660585041824e-206
2,"arrive",0.00106272090598136
3,"arrive",4.62952322862497e-215
4,"arrive",5.31249872831459e-210
5,"arrive",7.09016502802188e-211
6,"arrive",7.33519162886181e-195
1,"artificial",8.36371367025056e-187
2,"artificial",3.03680061645685e-210
3,"artificial",4.21309223318579e-208
4,"artificial",0.00119020179423761
5,"artificial",3.19320205425675e-208
6,"artificial",3.71019211911701e-206
1,"arun",0.0011436347751787
2,"arun",5.68748628855036e-41
3,"arun",4.99511091795123e-186
4,"arun",9.63660369604902e-183
5,"arun",1.87500857748368e-180
6,"arun",7.24147676886531e-179
1,"ashutoshindia",8.9771669587384e-155
2,"ashutoshindia",4.75953702164149e-158
3,"ashutoshindia",0.000887327989521247
4,"ashutoshindia",3.46068059992063e-156
5,"ashutoshindia",8.13006382163325e-157
6,"ashutoshindia",2.2214909370853e-153
1,"ashutoshsingh",6.54458825420254e-191
2,"ashutoshsingh",1.66769881649264e-193
3,"ashutoshsingh",4.22005893650571e-194
4,"ashutoshsingh",0.00119020179423761
5,"ashutoshsingh",2.62043564398648e-191
6,"ashutoshsingh",2.15699900269689e-187
1,"asi",0.00343090537483751
2,"asi",7.13633221702717e-158
3,"asi",0.000887327175385014
4,"asi",6.69604665177515e-154
5,"asi",1.14256534600115e-154
6,"asi",2.07077855837241e-151
1,"asia",0.00114363459235535
2,"asia",0.00106272107187316
3,"asia",1.79125030811737e-38
4,"asia",9.55236200543718e-155
5,"asia",4.13940776731783e-12
6,"asia",8.69532698615398e-153
1,"assemble",0.0011436347751787
2,"assemble",1.24599797437103e-172
3,"assemble",7.22706856565151e-174
4,"assemble",3.60149976356924e-170
5,"assemble",4.99402723258231e-170
6,"assemble",1.55742631010929e-167
1,"assembly",2.66246032913424e-173
2,"assembly",1.00971253860479e-180
3,"assembly",9.0943334930325e-182
4,"assembly",0.00119020179423761
5,"assembly",1.15735422795583e-178
6,"assembly",1.97251268364523e-174
1,"assistance",1.10958184972169e-178
2,"assistance",1.04103079432838e-179
3,"assistance",0.000887327989521247
4,"assistance",8.32596983109098e-179
5,"assistance",4.78932679366932e-179
6,"assistance",1.03500186381362e-175
1,"assistindo",2.32082821320523e-174
2,"assistindo",6.92591326851981e-177
3,"assistindo",0.000887327989521247
4,"assistindo",7.00143737414594e-174
5,"assistindo",8.04253764559599e-174
6,"assistindo",1.49588693237243e-170
1,"ate",4.63858674970571e-167
2,"ate",8.95065635926108e-169
3,"ate",0.00177465597904249
4,"ate",2.90753144500327e-166
5,"ate",7.10872159376778e-131
6,"ate",1.09711464549067e-164
1,"atqhajwifkk",0.0011436347751787
2,"atqhajwifkk",9.64446345336647e-144
3,"atqhajwifkk",1.22477046819424e-144
4,"atqhajwifkk",3.43569497987866e-138
5,"atqhajwifkk",7.52424883752051e-142
6,"atqhajwifkk",3.75028925408248e-136
1,"atraves",1.05596903593173e-177
2,"atraves",1.16329430972412e-190
3,"atraves",1.16454626271888e-42
4,"atraves",0.00119020179423761
5,"atraves",1.08964987680394e-187
6,"atraves",4.89354936721259e-185
1,"attendance",7.37395108757695e-150
2,"attendance",3.97806637815369e-33
3,"attendance",1.58995616390769e-153
4,"attendance",0.0047608071558419
5,"attendance",7.03320426749816e-150
6,"attendance",2.35234385920402e-11
1,"attendence",0.0011436347751787
2,"attendence",1.4208574715555e-172
3,"attendence",1.30741749814287e-174
4,"attendence",6.53988626541275e-171
5,"attendence",4.22892996302366e-169
6,"attendence",3.19471810480905e-168
1,"attending",2.4679744323094e-172
2,"attending",1.27496520519701e-176
3,"attending",0.000887327989521247
4,"attending",1.39108767467118e-170
5,"attending",4.4008826711896e-174
6,"attending",1.57991219150858e-32
1,"attention",1.34251353569219e-228
2,"attention",5.42490332145228e-234
3,"attention",1.44540644943319e-138
4,"attention",2.44864836358246e-230
5,"attention",0.00110071387508795
6,"attention",1.42677226561639e-219
1,"aunt",3.7590898070954e-220
2,"aunt",2.48745771324343e-220
3,"aunt",2.52663660822965e-221
4,"aunt",0.00119020179423761
5,"aunt",5.27593826788982e-58
6,"aunt",1.09065264338424e-57
1,"aur",3.09061307400823e-202
2,"aur",0.00106272090598136
3,"aur",6.32581146534481e-206
4,"aur",1.21381123855961e-200
5,"aur",6.67824378463694e-201
6,"aur",6.25622581900526e-198
1,"australian",8.33553735451914e-195
2,"australian",0.00106272090598136
3,"australian",2.76215381336694e-208
4,"australian",6.03492295731534e-200
5,"australian",2.91116392309712e-202
6,"australian",8.52827182368666e-201
1,"autobiography",1.29312854635122e-166
2,"autobiography",0.00106272090598136
3,"autobiography",7.04649102575928e-172
4,"autobiography",1.84306606081482e-165
5,"autobiography",1.03514041944116e-165
