"left","right","n"
"bro","here",1
"bro","is",1
"bro","it",1
"bro","its",1
"bro","me",1
"bro","one",1
"bro","pfp",1
"bro","shut",1
"bro","xd",1
"bro","youtube",1
"broadband","on",1
"broo","i",1
"bros","living",1
"brother","i",1
"brothers","fave",1
"bruh","its",1
"bruh","minute",1
"bukan","indonesia",1
"but","after",1
"but","behave",1
"but","it",1
"but","no",1
"but","not",1
"but","still",1
"but","this",1
"but","today",1
"but","wut",1
"but","ye",1
"by","days",1
"by","jai",1
"by","our",1
"by","the",1
"by","then",1
"byson","rib",1
"call","it",1
"call","us",1
"callsignghostwe","were",1
"can","forget",1
"can","hear",1
"can","only",1
"cancion","y",1
"caraca","dias",1
"career","very",1
"cari","juga",1
"ce","nao",1
"cette","chanson",1
"change","dp",1
"chanson","et",1
"chida","la",1
"christains","with",1
"cinema","for",1
"city","of",1
"claiming","my",1
"class","content",1
"clothes","in",1
"cmon","forever",1
"coldpay","mu",1
"coldplay","was",1
"college","exams",1
"com","from",1
"come","from",1
"come","practice",1
"come","to",1
"come","watch",1
"comentario","mais",1
"comment","and",1
"comment","is",1
"comment","shame",1
"commented","on",1
"comments","about",1
"comments","i",1
"comments","please",1
"comments","so",1
"comparing","indian",1
"content","of",1
"copyright","copyright",1
"copyright","dhfw",1
"copyright","fadi",1
"copyright","my",1
"correcto","somos",1
"cosas","y",1
"country","and",1
"country","but",1
"country","i",1
"country","in",1
"country","its",1
"course","do",1
"covered","in",1
"coz","this",1
"crap","missed",1
"crazy","broadband",1
"create","such",1
"cry","harder",1
"cry","like",1
"cry","more",1
"csgd","copyright",1
"cultur","to",1
"cultural","appreciation",1
"culture","depicted",1
"culture","dikhane",1
"culture","first",1
"culture","is",1
"culture","like",1
"culture","not",1
"culture","nothing",1
"culture","still",1
"culture","terrorists",1
"culture","that",1
"culture","to",1
"cultureshows","why",1
"currently","living",1
"cute","love",1
"cuz","u",1
"daily","you",1
"date","and",1
"date","hain",1
"date","ka",1
"day","is",1
"day","l",1
"day","weekend",1
"days","but",1
"de","agaya",1
"de","anos",1
"de","diferenca",1
"de","mi",1
"de","rha",1
"de","tantas",1
"dead","by",1
"deeprobhattacharyya","sure",1
"delhi","that",1
"dentro","de",1
"depicted","here",1
"despues","de",1
"destroyed","bangladesh",1
"dharmadeepsinh","india",1
"dhravai","tht",1
"dialed","into",1
"dias","de",1
"did","i",1
"did","not",1
"dieses","lied",1
"dikha","isme",1
"dikhane","ki",1
"dikhaya","hai",1
"disciplined","and",1
"disrespected","our",1
"djfluffy","mins",1
"do","you",1
"does","it",1
"does","this",1
"dont","speak",1
"dp","pe",1
"dp","please",1
"dp","to",1
"drinking","alcohol",1
"during","festivals",1
"dvovod","dik",1
"earlier","than",1
"educated","but",1
"eh","hahaha",1
"either","muslims",1
"elizabethujmg","place",1
"elizabethujmg","si",1
"else","do",1
"en","janvier",1
"en","realidad",1
"end","only",1
"england","culture",1
"english","please",1
"entire","life",1
"es","correcto",1
"es","nuestra",1
"es","ta",1
"escape","this",1
"especially","west",1
"esse","excuse",1
"estamos","mayo",1
"estou","in",1
"et","le",1
"eu","aceito",1
"eu","estou",1
"even","a",1
"even","get",1
"even","may",1
"even","your",1
"evertonsousa","hey",1
"every","day",1
"every","one",1
"everyone","access",1
"everyone","one",1
"exactly","they",1
"exactly","what",1
"example","of",1
"examples","where",1
"exams","it",1
"excelente","cancion",1
"expect","a",1
"fact","that",1
"fadi","copyright",1
"fave","band",1
"favorite","to",1
"feel","sad",1
"feeling","nostalgia",1
"felipegamerpley","oo",1
"festivals","and",1
"fevrier","mars",1
"fifa","laughing",1
"film","city",1
