"","Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"1243","Nella kharisma 🤣🤣🤣 iki lohh rekkk","@antoniantonia4653","https://yt3.ggpht.com/ytc/AIdro_kv5begwn_MNBAu3IA7dSnbiMgoGIAx1Nge2JCQYJsiuzdYEGT0WGfzy80LaboMK3fBRQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@antoniantonia4653","UC5pGLjHp36jhyA-2rDhTLpQ","0","0","2024-05-25T10:32:41Z","2024-05-25T10:32:41Z","UgxwW9Lil1DxgMi3tup4AaABAg",NA,"Io0fBr1XBUA"
"1244","💖💖","@yasmineoktavia5236","https://yt3.ggpht.com/EEiA7jCHPKEZ6vgzQMyk6dQZqv6zULPZfSQ9hN8HhPaOP1aizAiUiyeIbiqSLZWsl8Tblxvs=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@yasmineoktavia5236","UCqUF8E0sL9ZFnqPVCpqsfiQ","0","0","2024-05-25T10:26:29Z","2024-05-25T10:26:29Z","UgyrMcaKjUyK_xW5UnB4AaABAg",NA,"Io0fBr1XBUA"
"1245","So much sexual content this vedio should be banned 😢","@anmgaming1357","https://yt3.ggpht.com/S-529rZg5LoeYH7UPvui9dNX2yDeGNI1Zy1PshHfcMYBKX-CjzlangwBya-N9CrYxutNiDJM=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@anmgaming1357","UCSvl3V1ahvV-S2gfj4_usoA","0","1","2024-05-25T09:18:26Z","2024-05-25T09:18:26Z","UgyWxxPZ-75JLWzINq94AaABAg",NA,"Io0fBr1XBUA"
"1246","Wow this song","@AngeloPrice-cm8cm","https://yt3.ggpht.com/um85p6OnTblT4XVcVOTUadRLlVUvbxwZ-h5hsS10jjbeLmqQMB8j_kCO2o-zcxzlIJrD04-C=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@AngeloPrice-cm8cm","UCzjNRXt-RNVeUc4snq8SJzQ","0","0","2024-05-25T08:35:53Z","2024-05-25T08:35:53Z","UgzQ3sUZSFfWwMUoINR4AaABAg",NA,"Io0fBr1XBUA"
"1247","Kesini gara2 lirik yg dangdutan 😢","@azizahmubarokah6337","https://yt3.ggpht.com/ytc/AIdro_mtvD0AbiNS6E02W0kNPGUvaB6HaZW1YpkwXl2V_hU=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@azizahmubarokah6337","UCaT-QbrEFWX9Vy1hg_iz0fA","0","0","2024-05-25T08:16:42Z","2024-05-25T08:16:42Z","UgyNvK1HSpTFaYZbk2d4AaABAg",NA,"Io0fBr1XBUA"
"1248","Kesini gara2 dengar mbak nella nyanyi anicyu anicyu regno😅","@lindalisna07","https://yt3.ggpht.com/R_r9uVoUUXF9X_bYAOCJGjkBcfiaTcWWG5gtdE0Hq3mU6YGdL4KasQ9hBeM7Bf-ooJMIXf1Ewg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@lindalisna07","UCQl6JBDej36OKiSGS4lgvZA","0","0","2024-05-25T07:33:19Z","2024-05-25T07:33:19Z","Ugz0C2Fe5llNOXrlkbh4AaABAg",NA,"Io0fBr1XBUA"
"1249","Woyyy lahh nella kharisma.. Gw ampe lupa lirik aslinya. Ampe ksni lg buat mastiin 😭😭😭","@Masadepancerah372","https://yt3.ggpht.com/XdhRrQ_VowaQ23CWO30a0LwRfQ6WPU82g2E3mcTj0ktm1sgPfcGVZgOS3Hknr9spXvw8raNTvg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Masadepancerah372","UCKqjsPQhA95IPeCzDPMJEmg","0","0","2024-05-25T07:21:27Z","2024-05-25T07:21:27Z","Ugw8jo6KHvo6SegPBvR4AaABAg",NA,"Io0fBr1XBUA"
"1250","nella kharisma HAHHAHHAHHAHHAHHA","@akungooglr473","https://yt3.ggpht.com/ytc/AIdro_meYAh6NPkc3qZ9RQbztfozX2jknUqc69hcasQTLZa7CCWY6MHmzRI1I6I59gYFhEiQXA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@akungooglr473","UC01-56nnwAxRNFFSTlxM9-w","0","0","2024-05-25T06:30:22Z","2024-05-25T06:30:22Z","UgzeeIrXuTOwSYMH0u94AaABAg",NA,"Io0fBr1XBUA"
"1251","Kesini gara"".. Nela karisma"" Darling Mehong""","@dewihariyati3185","https://yt3.ggpht.com/ytc/AIdro_lv6ODZrNRnoEWO3IZM83zRtAiUkCnTTs34rAV8_gQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@dewihariyati3185","UCLYucBnpSEwFwFcaLjJby4w","0","0","2024-05-25T05:23:04Z","2024-05-25T05:23:04Z","Ugz0w9kkOe9R4k3Hcy54AaABAg",NA,"Io0fBr1XBUA"
"1252","Darlin ngehong","@anglingkusumofarmer4180","https://yt3.ggpht.com/Sb4Hi0OVA-VoXG2V4O5hSlWg5TFNn3m0GuOHhNFeFF4anQgKioIOQMlg9QG9UlNkgHbAy5BB=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@anglingkusumofarmer4180","UCYz8cuKqaxRrlZCHEBDlX3g","0","0","2024-05-25T05:08:50Z","2024-05-25T05:08:50Z","Ugy6gz_1LZ9opS7A8wt4AaABAg",NA,"Io0fBr1XBUA"
"1253","Kesini gara gara Nella kharisma yuk kumpul😅","@gabriellapramesti","https://yt3.ggpht.com/DJs7m0iZ087YCuJ5MCznkeczt6Zo3B8YxuuD4rBXAljlGvDKoaGc0-Xuzv7JTgHP7uFMArbg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@gabriellapramesti","UCddNdvcUux4rbRGGadoau4Q","0","0","2024-05-25T04:57:31Z","2024-05-25T04:57:31Z","UgwpfaTovaRry04RKad4AaABAg",NA,"Io0fBr1XBUA"
"1254","Darling Ngehong","@nanacutelight","https://yt3.ggpht.com/O3ucdUStZOVD96wzg_B0K7r3SSO9i9Y2ZcdM5FBghFTaLnixbVQ6AgCM7su-iN-VCYGoQ6RPsTE=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@nanacutelight","UCuaE6-BGu2Q7b_aBL2avK6g","0","0","2024-05-25T04:48:59Z","2024-05-25T04:48:59Z","Ugz0A-OmGsETnO9ds214AaABAg",NA,"Io0fBr1XBUA"
"1255","Fremont street theme song !!","@jayshelton187","https://yt3.ggpht.com/qgdXYGOl7unDS-2-SQ6V5NhpHJ36-7Pl1wa8Ti48Jcn5c0XvU9vsxeDZzNLipI8bnRVu8jhDn24=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@jayshelton187","UCC5q3dX9OtJE1sFC4pPL2ZQ","0","0","2024-05-25T04:40:39Z","2024-05-25T04:40:39Z","Ugx9VabB-AiqUz-XDwR4AaABAg",NA,"Io0fBr1XBUA"
"1256","kesini gara2 Nella Kharisma","@hanifirshadi347","https://yt3.ggpht.com/ytc/AIdro_k9wUVwSB0vA_9ruWX0YmDYuzXBNDuUUhXcSihZd9hGSl8H=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@hanifirshadi347","UCGKu7BnoWOxysXRqh9sj8SQ","0","0","2024-05-25T04:32:49Z","2024-05-25T04:32:49Z","UgzlS8TpEdMI6HoHTYN4AaABAg",NA,"Io0fBr1XBUA"
"1257","Daya sounds much like Rihanna","@P.Tombstone","https://yt3.ggpht.com/Qeas9xAmD-N7fsDWUg78cLrNoaP8jMqFhwVY1OqyiBpM6QEoQ23LcNUU8uDy6L-s7Zq01mJV8A=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@P.Tombstone","UCfu2vXs0OuLX9tItaCrrxcw","0","0","2024-05-25T04:12:35Z","2024-05-25T04:12:35Z","Ugw0MwJZZsz0AdKrG9t4AaABAg",NA,"Io0fBr1XBUA"
"1258","Sean binder rapid cuty sputh Dakota","@jessies16","https://yt3.ggpht.com/ytc/AIdro_lm_zOZN6FVCMC9XEgozZJNxopPmyd0qspJwRJFxH0emdOvBN8EgbvmEsBy4G2A8EPFaA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@jessies16","UCe3SrIsaMfPty7T40dr9MqQ","0","0","2024-05-25T02:36:07Z","2024-05-25T02:36:07Z","UgyXUC4rlYNE9j3iHJN4AaABAg",NA,"Io0fBr1XBUA"
"1259","Dollar tree","@jessies16","https://yt3.ggpht.com/ytc/AIdro_lm_zOZN6FVCMC9XEgozZJNxopPmyd0qspJwRJFxH0emdOvBN8EgbvmEsBy4G2A8EPFaA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@jessies16","UCe3SrIsaMfPty7T40dr9MqQ","0","0","2024-05-25T02:29:58Z","2024-05-25T02:29:58Z","Ugwve6AhWPLDjcwVTx14AaABAg",NA,"Io0fBr1XBUA"
"1260","Marc Karla I love that shirt","@jessies16","https://yt3.ggpht.com/ytc/AIdro_lm_zOZN6FVCMC9XEgozZJNxopPmyd0qspJwRJFxH0emdOvBN8EgbvmEsBy4G2A8EPFaA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@jessies16","UCe3SrIsaMfPty7T40dr9MqQ","0","0","2024-05-25T02:29:23Z","2024-05-25T02:29:23Z","UgzBbRlrNyALil2Qmzx4AaABAg",NA,"Io0fBr1XBUA"
"1261","Darling ngehong","@gebySWATagent","https://yt3.ggpht.com/ytc/AIdro_mWCIrmFwlTNuZI5f_faxteofP3nl__JdcPtlAO09-2pIQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@gebySWATagent","UCHhGSVYRwYW8ACp25BoZ0Ug","0","0","2024-05-25T02:14:23Z","2024-05-25T02:14:23Z","UgzrSU_bKNva_Wrz6ap4AaABAg",NA,"Io0fBr1XBUA"
"1262","Plot twist 
A girl: get out of that car!
One boy in the car: I am with my bff
The other boy: who is this bth 
A girl: Go fly in the air and die (using magic)","@Aoi-Sora-Wxite-T4iGa","https://yt3.ggpht.com/Ye1ksFNym_RWWTY8BQVd7vNMwtdxboazWh8UcSECYxMBwx9fppCpcwIGYsbnBGTx1eqhvnRlyA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Aoi-Sora-Wxite-T4iGa","UCxOYKV5F9UNJ7SHLOoe6teg","0","0","2024-05-25T01:28:55Z","2024-05-25T01:28:55Z","UgxDOCnQkaHCVcW8_FN4AaABAg",NA,"Io0fBr1XBUA"
"1263","My morning alarm ringtone 🔥✨","@Aoi-Sora-Wxite-T4iGa","https://yt3.ggpht.com/Ye1ksFNym_RWWTY8BQVd7vNMwtdxboazWh8UcSECYxMBwx9fppCpcwIGYsbnBGTx1eqhvnRlyA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Aoi-Sora-Wxite-T4iGa","UCxOYKV5F9UNJ7SHLOoe6teg","0","1","2024-05-25T01:24:10Z","2024-05-25T01:24:10Z","UgzzXMm7lsPa1pY7bQ14AaABAg",NA,"Io0fBr1XBUA"
"1264","Darling ngehong ni mah","@faiqfach9261","https://yt3.ggpht.com/ytc/AIdro_maTaSEqJLhw_01WpPU6bKGXnbWoeuE_NHyDcdia7E=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@faiqfach9261","UC0m-ZkEKfNnrni67AmeByjw","0","0","2024-05-25T00:46:35Z","2024-05-25T00:46:35Z","Ugz74p5GEnNa97ROYoJ4AaABAg",NA,"Io0fBr1XBUA"
"1265","2016: Masterpiece ❤
2024: Nostalgic Masterpiece ❤","@chidieberenwadike4165","https://yt3.ggpht.com/iPzucIkTxEH6mkUjltkZ6PSOW3saUOdh89du-flbWERTlLbcz1DGI3hkiP0uyqu9o4talalaCg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@chidieberenwadike4165","UCUTXwa1lhZ9IFSd_ID5ZoTA","0","1","2024-05-24T22:30:01Z","2024-05-24T22:30:01Z","UgzIZFQmUEbnpR-2C2p4AaABAg",NA,"Io0fBr1XBUA"
